judge_removed,avg_rank_change,max_rank_change,participants_affected,top10_changes
Garrick Ohlsson,0.5454545454545454,1,6,6
John Alison,0.7272727272727273,2,6,6
Yulianna Avdeeva,1.0909090909090908,3,7,7
Michel Beroff,0.5454545454545454,2,5,5
Sa Chen,1.0909090909090908,3,7,7
Dang Thai Son,0.45454545454545453,2,4,4
Akiko Ebi,0.45454545454545453,2,4,4
Nelson Goerner,1.0,3,5,5
Krzysztof Jabłoński,0.5454545454545454,2,5,5
Kevin Kenner,1.0909090909090908,3,9,9
Momo Kodama,0.5454545454545454,2,5,5
Robert McDonald,0.18181818181818182,1,2,2
Piotr Paleczny,0.5454545454545454,1,6,6
Ewa Pobłocka,0.5454545454545454,2,5,5
K. Popowa-Zydroń,0.36363636363636365,2,3,3
John Rink,1.1818181818181819,2,9,9
Wojciech Świtała,1.0909090909090908,3,7,7
