judge,stage1_harshness,stage1_consistency,stage2_harshness,stage2_consistency,stage3_harshness,stage3_consistency,final_harshness,final_consistency,overall_harshness,overall_consistency,consensus_correlation
Garrick Ohlsson,-0.2095238095238096,2.139507264950431,-0.0714999999999999,1.6383302162372204,-0.44399999999999995,1.5973049670913617,-1.6590909090909092,0.45632125844528765,-0.3070322580645162,1.8985101711413501,0.5285704721886892
John Alison,-1.3242857142857143,1.9247733621642509,-0.36099999999999993,1.5883547365846111,-0.19799999999999968,1.359727526884861,0.4627272727272727,1.450566033719878,-0.8035483870967741,1.827460689109162,0.6436680737052415
Yulianna Avdeeva,1.2040476190476188,1.3398949060097547,0.8817500000000003,1.1491666713151485,0.2325000000000003,0.9781608682678559,-1.689090909090909,0.547182867887045,0.7901935483870968,1.4147738772783955,0.5143358519383785
Michel Beroff,0.032142857142856925,2.0335304166029995,0.8627500000000001,1.2224586144743568,0.8860000000000005,1.1765757631006126,1.3509090909090913,0.7392760586608297,0.450258064516129,1.7366745933191183,0.7250104502279627
Sa Chen,1.891190476190476,1.0468039767269404,1.1040000000000003,0.9677300958746391,-0.2894999999999996,1.114547229289001,-0.14454545454545453,1.7763466082742054,1.2621935483870967,1.3602387223917205,0.5146140366705597
Dang Thai Son,-0.6506756756756759,1.9409624297360313,-0.7013888888888888,1.5754929437712555,-0.8894444444444441,1.1408638224774723,-0.11444444444444418,1.396442901724871,-0.6601459854014599,1.7157773601173267,0.5956191659722632
Akiko Ebi,1.1449999999999998,1.6275449024953363,0.502,1.587725675459341,0.32850000000000035,1.554742405470572,-0.31999999999999995,1.510562809021856,0.7697419354838708,1.6433074235338363,0.6791234018691402
Nelson Goerner,-0.5486904761904764,2.0316951079023817,0.5302500000000001,1.474526412454399,0.7130000000000003,1.3176737875993114,0.8500000000000001,1.345600237812107,-0.008193548387096771,1.8546135919490745,0.7450176760239685
Krzysztof Jabłoński,-1.5429761904761907,1.7997789554783954,-1.1945,1.2461611823145884,-0.4254999999999997,1.339239670386463,0.2763636363636366,1.5266517135697504,-1.179741935483871,1.670607364302208,0.6734014793437344
Kevin Kenner,-0.11358024691358042,1.8867560180386174,0.24825000000000016,1.4041566270659886,0.2410000000000002,1.396005202825473,0.08636363636363663,1.5713705656354435,0.04276315789473684,1.6777923297597217,0.6670073870164458
Momo Kodama,0.8657142857142853,1.5285809512789097,0.07150000000000008,1.574170599688317,0.6310000000000004,1.1639899619751657,0.9872727272727275,1.043552499006072,0.6390967741935484,1.4935233802686012,0.6484594463078366
Robert McDonald,0.3271794871794871,1.8574860104599118,0.11888888888888902,1.3203068426430877,-0.3799999999999996,1.2164137865052338,0.07888888888888938,1.0231134400012105,0.17178571428571435,1.6168056106573425,0.6278821018342547
Piotr Paleczny,0.5151219512195121,1.6964700052672474,-0.0733333333333334,1.5114167862487122,-0.01631578947368377,1.4225650171679944,0.412727272727273,1.277952197142686,0.28880794701986756,1.594559843833396,0.584774133103563
Ewa Pobłocka,0.07874999999999983,1.9698309218710865,-0.10157894736842103,1.7475226114081175,-0.5933333333333332,1.418988869499936,-0.6163636363636361,1.4420629162923004,-0.10217687074829937,1.815326104774545,0.679355194287978
K. Popowa-Zydroń,0.41303797468354425,1.6506885544122611,-0.9052631578947367,1.21063918083529,-0.33526315789473654,1.4123517362543176,0.0010000000000001564,1.5617116677970149,-0.055684931506849285,1.5939061639996108,0.5822199149531999
John Rink,-0.3547619047619049,1.964214473229571,0.14100000000000018,1.4237145349131886,0.1735000000000005,1.4353516898949223,0.49545454545454604,1.333411891625117,-0.09832258064516121,1.7401749334959213,0.7406062521159938
Wojciech Świtała,-0.6255000000000003,1.7297383280555196,-0.4482499999999999,1.3540042940128103,0.23050000000000032,0.8682739987136003,-0.08727272727272703,1.4283003249253354,-0.4259602649006623,1.5347576458625984,0.7876552408388287
