judge_removed,stage1_to_stage2,stage2_to_stage3,stage3_to_final
Garrick Ohlsson,"{'lost_qualification': [43, 28], 'gained_qualification': [65, 71]}","{'lost_qualification': [76], 'gained_qualification': [83]}","{'lost_qualification': [15], 'gained_qualification': []}"
John Alison,"{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [76], 'gained_qualification': [78]}","{'lost_qualification': [24, 47], 'gained_qualification': [53]}"
Yulianna Avdeeva,"{'lost_qualification': [43], 'gained_qualification': [32]}","{'lost_qualification': [76], 'gained_qualification': [78]}","{'lost_qualification': [47], 'gained_qualification': [53]}"
Michel Beroff,"{'lost_qualification': [12], 'gained_qualification': [32]}","{'lost_qualification': [76], 'gained_qualification': [83]}","{'lost_qualification': [24, 47], 'gained_qualification': [53]}"
Sa Chen,"{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [73, 47], 'gained_qualification': [53]}"
Dang Thai Son,"{'lost_qualification': [43], 'gained_qualification': [65]}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [73], 'gained_qualification': []}"
Akiko Ebi,"{'lost_qualification': [43, 12], 'gained_qualification': [65, 71]}","{'lost_qualification': [], 'gained_qualification': [28]}","{'lost_qualification': [24], 'gained_qualification': [3]}"
Nelson Goerner,"{'lost_qualification': [35], 'gained_qualification': [71]}","{'lost_qualification': [76], 'gained_qualification': [78]}","{'lost_qualification': [24, 73, 47], 'gained_qualification': [3, 53]}"
Krzysztof Jabłoński,"{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [73, 47], 'gained_qualification': [53]}"
Kevin Kenner,"{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [58], 'gained_qualification': [83, 78]}","{'lost_qualification': [73], 'gained_qualification': []}"
Momo Kodama,"{'lost_qualification': [12], 'gained_qualification': [32]}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [24, 73], 'gained_qualification': [53]}"
Robert McDonald,"{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [73], 'gained_qualification': []}"
Piotr Paleczny,"{'lost_qualification': [35], 'gained_qualification': [65]}","{'lost_qualification': [58, 76], 'gained_qualification': [83, 28, 78]}","{'lost_qualification': [47], 'gained_qualification': []}"
Ewa Pobłocka,"{'lost_qualification': [43], 'gained_qualification': [65]}","{'lost_qualification': [58], 'gained_qualification': [83]}","{'lost_qualification': [73], 'gained_qualification': []}"
K. Popowa-Zydroń,"{'lost_qualification': [43, 28], 'gained_qualification': [65, 71]}","{'lost_qualification': [76], 'gained_qualification': [83]}","{'lost_qualification': [73, 15], 'gained_qualification': [53]}"
John Rink,"{'lost_qualification': [], 'gained_qualification': [65]}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [47, 15], 'gained_qualification': [53]}"
Wojciech Świtała,"{'lost_qualification': [28], 'gained_qualification': [71]}","{'lost_qualification': [], 'gained_qualification': []}","{'lost_qualification': [24], 'gained_qualification': []}"
