judge,PC1,PC2,PC3,PC4,PC5
Garrick Ohlsson,-0.5398199920400815,2.836931477056323,-12.275536392898431,-0.12116989056364467,-5.02392307824237
John Alison,-8.76638736278859,-7.411790946274859,-2.5294564668235906,-7.330290315097526,3.517256599376314
Yulianna Avdeeva,6.0462014490532,1.9300899985778095,-2.550335435521846,-2.265009594060806,0.061381398046904026
Michel Beroff,4.477167545264632,-6.600541686005626,2.4978374359266247,1.4058557195606485,-0.7101263170884766
Sa Chen,8.01235266113509,1.6343662373201713,1.6652723224644292,-0.699741008715808,-0.6885458411703472
Dang Thai Son,-2.8891806868214536,3.1224318705398892,0.3108199261942116,7.040776440075051,0.0911256109575406
Akiko Ebi,7.24771072660486,-2.663775745113486,-0.5901920857452216,2.0436914382461477,-1.983300055370445
Nelson Goerner,0.14820791888607301,-7.740503572683994,1.214341403924083,0.4629995284717685,2.2336800270529698
Krzysztof Jabłoński,-10.353786121632966,-3.5594336769998,2.2505027138505587,6.713324377923764,-4.365573309356708
Kevin Kenner,-0.6832266984616363,4.542291191516809,-0.3929883173784743,0.8056510407456262,5.026714985188647
Momo Kodama,4.078420071705147,-3.1344798235134803,3.790975630570004,1.0447284488271515,-0.17237708160655182
Robert McDonald,0.8413217790451468,3.0733950411551674,-0.02259196147152513,1.1474984420290568,1.9069671234208585
Piotr Paleczny,0.025419450922448128,3.0462050205243325,0.9357316264885164,-0.9817578202654893,4.299630434513902
Ewa Pobłocka,-3.4513267991501095,6.736535037107758,7.014263324298593,-6.845431338131895,-6.543546934395466
K. Popowa-Zydroń,-2.008349686834693,5.177593217647516,1.7578977992139875,-1.310328764119533,0.883419412848655
John Rink,0.8310333360015338,-5.757084245693559,-1.7894652923276553,-2.7573699768056454,-2.1857346120946985
Wojciech Świtała,-3.0157575908885943,4.767770604839025,-1.2870762307642576,1.6465732718811543,3.6529516379192626
