judge,cluster,mean_score,std_score,n_scores
Garrick Ohlsson,2,19.387096774193548,2.992169644068603,155
John Alison,3,18.65806451612903,3.2462540043480432,155
Yulianna Avdeeva,1,20.767741935483873,1.8120066900148486,155
Michel Beroff,0,20.593548387096774,2.776751288250233,155
Sa Chen,1,21.335483870967742,1.513048953100469,155
Dang Thai Son,0,19.242385701606345,2.2377325447216756,155
Akiko Ebi,1,20.81290322580645,2.464783378101117,155
Nelson Goerner,0,19.89677419354839,2.9960454315482488,155
Krzysztof Jabłoński,0,18.258064516129032,2.6988181869478076,155
Kevin Kenner,0,19.946849229837618,2.4383050642655775,155
Momo Kodama,1,20.677419354838708,2.171047637082176,155
Robert McDonald,0,20.018117116930018,2.1290260932642266,155
Piotr Paleczny,0,20.223755962364134,2.0940002574728305,155
Ewa Pobłocka,0,19.608802247308912,2.8516684293483743,155
K. Popowa-Zydroń,0,19.801838012093494,2.1380447632292707,155
John Rink,0,19.846387096774194,2.684731451386934,155
Wojciech Świtała,0,19.488272091396393,2.4234194316027207,155
