Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
62,Eric,Lu,Eric Lu,1,1.0,0.0,1,1,0,1,1
29,Kevin,Chen,Kevin Chen,2,2.258,0.4375339986789598,2,3,1,2,3
15,William,Yang,William Yang,3,2.742,0.4375339986789598,2,3,1,2,3
57,Tianyou,Li,Tianyou Li,4,4.0,0.0,4,4,0,4,4
47,David,Khrikuli,David Khrikuli,5,5.147,0.41640244956051825,5,8,3,5,6
51,Shiori,Kuwahara,Shiori Kuwahara,6,6.14,0.6280127387243033,5,8,3,5,8
73,Vincent,Ong,Vincent Ong,7,6.944,0.6564023156570975,5,9,4,6,8
39,Yang (Jack),Gao,Yang (Jack) Gao,8,7.866,0.6277292409948735,5,10,5,6,9
3,Tomoharu,Ushida,Tomoharu Ushida,9,9.455,0.5966364051916376,7,10,3,8,10
24,Piotr,Alexewicz,Piotr Alexewicz,10,9.448,0.5525359716796726,8,10,2,8,10
81,Miyu,Shindo,Miyu Shindo,11,11.691,0.9568275706730027,11,15,4,11,14
54,Hyuk,Lee,Hyuk Lee,12,12.673,1.0639882518148402,11,15,4,11,14
53,Hyo,Lee,Hyo Lee,13,12.667,1.0733643370263426,11,15,4,11,14
64,Tianyao,Lyu,Tianyao Lyu,14,13.126,1.096414155326353,11,16,5,11,15
5,Zitong,Wang,Zitong Wang,15,15.029,0.6986837625134851,11,17,6,13,16
83,Gabriele,Strata,Gabriele Strata,16,16.055,0.6164211222857309,13,18,5,15,17
75,Piotr,Pawlak,Piotr Pawlak,17,16.834,0.5499490885527495,15,18,3,16,18
28,Kai-Min,Chang,Kai-Min Chang,18,17.93,0.28478061731796284,16,19,3,17,18
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,19,19.934,1.1557006532835397,18,23,5,19,23
12,Miki,Yamagata,Miki Yamagata,20,20.446,1.2210995045449817,18,23,5,19,23
41,Eric,Guo,Eric Guo,21,21.326,1.2424669009675873,19,23,4,19,23
11,Yifan,Wu,Yifan Wu,22,21.264,1.2736969812321928,19,23,4,19,23
58,Xiaoxuan,Li,Xiaoxuan Li,23,22.026,1.1684707955272136,19,24,5,19,23
78,Anthony,Ratinov,Anthony Ratinov,24,24.0,0.044721359549995794,23,25,2,24,24
69,Yumeka,Nakagawa,Yumeka Nakagawa,25,25.058,0.23798319268385323,24,26,2,25,26
30,Xuehong,Chen,Xuehong Chen,26,25.984,0.3189733531190341,25,27,2,25,27
25,Jonas,Aumiller,Jonas Aumiller,27,26.989,0.2736402748134858,26,28,2,26,28
46,Adam,Kałduński,Adam Kałduński,28,27.968,0.17600000000000002,27,28,1,27,28
31,Zixi,Chen,Zixi Chen,29,29.295,0.48987243237398037,29,32,3,29,30
68,Nathalia,Milstein,Nathalia Milstein,30,29.788,0.5559280528989341,29,33,4,29,31
77,Hao,Rao,Hao Rao,31,31.894,1.1369978012291844,29,35,6,30,35
45,Zihan,Jin,Zihan Jin,32,32.238,1.2309979691291126,29,35,6,30,35
67,Ruben,Micieli,Ruben Micieli,33,33.069,1.2610467873952973,30,35,5,31,35
35,Yubo,Deng,Yubo Deng,34,33.713,1.2200946684581488,29,35,6,31,35
59,Zhexiang,Li,Zhexiang Li,35,34.003,1.0940708386571685,30,35,5,32,35
26,Yanyan,Bao,Yanyan Bao,36,36.747,0.8264326953842037,36,39,3,36,38
43,Xiaoyu,Hu,Xiaoyu Hu,37,37.087,0.9388455677053601,36,40,4,36,39
20,Jacky,Zhang,Jacky Zhang,38,37.322,0.8051807250549406,36,39,3,36,39
55,Kwanwook,Lee,Kwanwook Lee,39,39.264,0.700217109188286,36,40,4,37,40
63,Philipp,Lynov,Philipp Lynov,40,39.58,0.5827520913733385,37,40,3,38,40
