Nr,imię,nazwisko,original_rank,Garrick Ohlsson_rank,Garrick Ohlsson_change,John Alison_rank,John Alison_change,Yulianna Avdeeva_rank,Yulianna Avdeeva_change,Michel Beroff_rank,Michel Beroff_change,Sa Chen_rank,Sa Chen_change,Dang Thai Son_rank,Dang Thai Son_change,Akiko Ebi_rank,Akiko Ebi_change,Nelson Goerner_rank,Nelson Goerner_change,Krzysztof Jabłoński_rank,Krzysztof Jabłoński_change,Kevin Kenner_rank,Kevin Kenner_change,Momo Kodama_rank,Momo Kodama_change,Robert McDonald_rank,Robert McDonald_change,Piotr Paleczny_rank,Piotr Paleczny_change,Ewa Pobłocka_rank,Ewa Pobłocka_change,K. Popowa-Zydroń_rank,K. Popowa-Zydroń_change,John Rink_rank,John Rink_change,Wojciech Świtała_rank,Wojciech Świtała_change
62,Eric,Lu,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
29,Kevin,Chen,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,Zitong,Wang,3,4,-1,4,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,3,0,3,0,3,0,3,0,3,0,4,-1,3,0
51,Shiori,Kuwahara,4,4,0,4,0,5,-1,5,-1,5,-1,3,1,4,0,5,-1,4,0,3,1,5,-1,4,0,4,0,4,0,5,-1,5,-1,4,0
64,Tianyao,Lyu,4,3,1,3,1,4,0,4,0,4,0,4,0,4,0,4,0,5,-1,5,-1,4,0,4,0,5,-1,5,-1,4,0,3,1,5,-1
24,Piotr,Alexewicz,5,5,0,n/a,n/a,n/a,n/a,n/a,n/a,6,-1,5,0,n/a,n/a,n/a,n/a,5,0,6,-1,n/a,n/a,5,0,6,-1,5,0,5,0,6,-1,n/a,n/a
73,Vincent,Ong,5,5,0,5,0,6,-1,6,-1,n/a,n/a,n/a,n/a,6,-1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,0,n/a,n/a,n/a,n/a,7,-2,6,-1
15,William,Yang,6,n/a,n/a,6,0,7,-1,7,-1,7,-1,6,0,5,1,6,0,6,0,8,-2,6,0,7,-1,7,-1,6,0,n/a,n/a,n/a,n/a,8,-2
47,David,Khrikuli,7,6,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,-1,6,1,n/a,n/a,n/a,n/a,7,0,8,-1,6,1,n/a,n/a,5,2,6,1,n/a,n/a,7,0
57,Tianyou,Li,8,8,0,8,0,9,-1,8,0,9,-1,7,1,7,1,8,0,7,1,8,0,7,1,8,0,8,0,7,1,7,1,8,0,9,-1
81,Miyu,Shindo,9,7,2,7,2,8,1,9,0,8,1,9,0,8,1,7,2,8,1,9,0,9,0,9,0,9,0,8,1,8,1,8,1,10,-1
