judge,avg_deviation,max_deviation,independence_score,times_corrected
Garrick Ohlsson,1.6951612903225806,3.0,2.0599999999999987,661
John Alison,1.7594193548387098,3.0,2.7300000000000004,661
Yulianna Avdeeva,1.387741935483871,3.0000000000000018,2.0,661
Michel Beroff,1.5541290322580645,3.0,2.0,661
Sa Chen,1.6268387096774193,3.0000000000000018,2.215,661
Dang Thai Son,1.6071532846715328,3.0,2.0,591
Akiko Ebi,1.6112903225806452,3.0,2.0,661
Nelson Goerner,1.641483870967742,3.0,2.0,661
Krzysztof Jabłoński,1.82283870967742,3.0,2.710000000000001,661
Kevin Kenner,1.3988157894736843,3.0000000000000018,2.0,656
Momo Kodama,1.3929032258064515,3.0,2.0,661
Robert McDonald,1.3447857142857145,3.0,2.0,609
Piotr Paleczny,1.3938410596026491,3.0,2.0,645
Ewa Pobłocka,1.634557823129252,3.0000000000000018,2.0,643
K. Popowa-Zydroń,1.3282876712328766,3.0,2.0,632
John Rink,1.513806451612903,3.0,2.0,661
Wojciech Świtała,1.3496688741721854,3.0,2.0,651
