Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,avg_before_correction,avg_after_correction,corrections_made,stage_score
5,Zitong,Wang,19.0,22.75,20.0,21.0,18.75,,20.0,22.75,19.0,19.0,22.0,22.0,21.0,22.0,22.0,20.0,19.0,20.75,20.64,3,20.64
15,William,Yang,19.0,19.0,18.38,21.0,22.38,20.0,18.38,18.38,22.0,22.38,22.0,,22.38,19.0,22.38,21.0,20.0,20.38,20.48,7,20.48
24,Piotr,Alexewicz,19.29,22.0,19.29,23.29,19.29,21.0,23.29,22.0,19.29,22.0,23.0,22.0,22.0,19.29,20.0,22.0,23.0,21.29,21.3,7,21.3
29,Kevin,Chen,19.65,23.65,21.0,23.65,23.65,20.0,19.65,21.0,23.65,21.0,21.0,21.0,23.0,20.0,21.0,21.0,23.0,21.65,21.58,6,21.58
47,David,Khrikuli,18.65,22.65,18.65,21.0,20.0,22.65,20.0,22.65,21.0,22.65,22.0,20.0,22.0,18.65,18.65,22.0,19.0,20.65,20.72,8,20.72
51,Shiori,Kuwahara,19.0,21.0,18.82,22.82,20.0,19.0,21.0,22.0,21.0,18.82,22.82,22.82,21.0,21.0,22.82,22.82,21.0,20.82,21.04,7,21.04
57,Tianyou,Li,18.0,21.0,18.0,21.0,21.18,19.0,17.18,19.0,19.0,18.0,20.0,19.0,18.0,17.18,19.0,20.0,20.0,19.18,19.09,3,19.09
62,Eric,Lu,20.0,22.0,19.53,23.53,20.0,,20.0,23.53,20.0,21.0,23.0,,22.0,22.0,21.0,23.53,20.0,21.53,21.41,4,21.41
64,Tianyao,Lyu,19.12,20.0,19.12,22.0,19.12,20.0,23.0,23.0,23.12,23.12,20.0,21.0,23.12,23.12,,19.12,22.0,21.12,21.25,8,21.25
73,Vincent,Ong,19.06,19.06,19.06,22.0,23.06,23.06,22.0,23.06,23.0,20.0,23.06,20.0,19.06,21.0,19.06,23.0,19.06,21.06,21.04,10,21.04
81,Miyu,Shindo,19.0,20.0,17.59,21.59,19.0,20.0,20.0,20.0,20.0,21.0,20.0,19.0,19.0,18.0,21.0,19.0,21.0,19.59,19.72,2,19.72
